day,pos,neg,neu
2024-09-06,3,8,9
2024-09-07,8,11,16
2024-09-08,7,7,14
2024-09-09,5,2,9
2024-09-10,11,4,9
2024-09-11,7,8,9
2024-09-12,12,11,9
2024-09-13,5,6,10
2024-09-14,11,3,10
2024-09-15,10,9,7
2024-09-16,9,3,4
2024-09-17,13,3,4
2024-09-18,12,9,15
2024-09-19,10,3,5
2024-09-20,7,3,7
2024-09-21,13,5,10
2024-09-22,15,3,13
2024-09-23,9,1,9
2024-09-24,17,4,11
2024-09-25,10,3,7
2024-09-26,15,3,11
2024-09-27,19,6,5
2024-09-28,10,4,10
2024-09-29,14,2,11
2024-09-30,10,3,15
